2009-01-02 05:06:55.682	MjAwOTAzMDYwMDI5ODc=	5
2009-01-02 06:08:10.210	MjAwOTAzMDYwMDI5ODc=	2
2009-01-02 09:01:23.468	MjAwOTAzMDYwMDI5ODc=	3
2009-01-02 11:16:57.217	MjAwOTAzMDYwMDI5ODc=	1
2009-01-02 13:17:01.167	MjAwOTAzMDYwMDI5ODc=	5
2009-01-02 22:01:22.283	MjAwOTAzMDYwMDI5ODc=	4
2009-01-03 02:01:55.866	MjAwOTAzMDYwMDI5ODc=	4
2009-01-03 02:33:52.702	MjAwOTAzMDYwMDI5ODc=	5
2009-01-03 03:32:02.149	MjAwOTAzMDYwMDI5ODc=	5
2009-01-03 03:35:48.108	MjAwOTA5MTAwMDE2MDk=	4
2009-01-03 03:35:48.109	MjAwOTA5MTAwMDE2MDk=	4
